variant,split,model,status,spearman,rmse,fold_spearman_mean,fold_spearman_std,folds,members
legacy_all_drugs_zero_smiles,random_4fold,randomforest,completed,0.7097482616825894,1.5226533877021424,0.7100700731871175,0.0191487053362539,"[{'fold': 1, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.7296523975484229, 'rmse': 1.5170668989152396}, {'fold': 2, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.7233840534552536, 'rmse': 1.5323844910942366}, {'fold': 3, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.6801149090431556, 'rmse': 1.4813984792469532}, {'fold': 4, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.7071289327016377, 'rmse': 1.5587360059022797}]",
legacy_all_drugs_zero_smiles,random_4fold,extratrees,completed,0.7028285422082733,1.572682504297393,0.7031561489384192,0.0156575251652234,"[{'fold': 1, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.718359450486469, 'rmse': 1.5792457453404853}, {'fold': 2, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.7146438379610035, 'rmse': 1.574759340822066}, {'fold': 3, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.6783799819463072, 'rmse': 1.5442108948918967}, {'fold': 4, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.7012413253598972, 'rmse': 1.592121339271292}]",
legacy_all_drugs_zero_smiles,random_4fold,flat_mlp,completed,0.695730319195833,1.5649485666762863,0.7007766915628116,0.0166169442188392,"[{'fold': 1, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.7236772023900171, 'rmse': 1.5980833643866703}, {'fold': 2, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.700509252433596, 'rmse': 1.5836669754389872}, {'fold': 3, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.6767350141898475, 'rmse': 1.4865056056004522}, {'fold': 4, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.702185297237786, 'rmse': 1.5889259332208021}]",
legacy_all_drugs_zero_smiles,random_4fold,residual_mlp,completed,0.6948292257284022,1.5726237582220093,0.7007496784485745,0.0225451861320043,"[{'fold': 1, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.7247966360127905, 'rmse': 1.5574263787664924}, {'fold': 2, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.7100504859247834, 'rmse': 1.5874588908482186}, {'fold': 3, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.6639220894887703, 'rmse': 1.5815282704964964}, {'fold': 4, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.704229502367954, 'rmse': 1.5638884669533508}]",
legacy_all_drugs_zero_smiles,scaffold_group_4fold,weighted_top3_ensemble,completed,0.4081939205705053,2.299949093960201,,,[],"[{'model': 'extratrees', 'spearman': 0.3753521647656025, 'weight': 0.3377777934074402}, {'model': 'flat_mlp', 'spearman': 0.37047074782189765, 'weight': 0.33338505029678345}, {'model': 'randomforest', 'spearman': 0.36541695595360857, 'weight': 0.328837126493454}]"
legacy_all_drugs_zero_smiles,scaffold_group_4fold,extratrees,completed,0.3753521647656025,2.361717021713104,0.385042623429761,0.1344456188840504,"[{'fold': 1, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.48708542114236925, 'rmse': 2.221745255728874}, {'fold': 2, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.25737676040929475, 'rmse': 2.533169336615689}, {'fold': 3, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.24741659118582424, 'rmse': 2.5522333425433574}, {'fold': 4, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.5482917209815559, 'rmse': 2.1080403944919013}]",
legacy_all_drugs_zero_smiles,scaffold_group_4fold,flat_mlp,completed,0.3704707478218976,2.3348825171115952,0.3812448858841675,0.0792572038790659,"[{'fold': 1, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.42889920139132565, 'rmse': 2.211798294776751}, {'fold': 2, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.2799188824807186, 'rmse': 2.571319290139928}, {'fold': 3, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.3334194960026963, 'rmse': 2.3752494480239617}, {'fold': 4, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.4827419636619295, 'rmse': 2.158972417509462}]",
legacy_all_drugs_zero_smiles,scaffold_group_4fold,randomforest,completed,0.3654169559536085,2.355873288262317,0.372839485308153,0.1303859800881526,"[{'fold': 1, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.4745311015309034, 'rmse': 2.226898596309641}, {'fold': 2, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.2620056815899492, 'rmse': 2.496663059984088}, {'fold': 3, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.22685343282653095, 'rmse': 2.547004649601}, {'fold': 4, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.5279677252852285, 'rmse': 2.1262456945233312}]",
legacy_all_drugs_zero_smiles,scaffold_group_4fold,residual_mlp,completed,0.3374706636925603,2.42642247667401,0.3507995779765356,0.0822887233280875,"[{'fold': 1, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.3815594601260763, 'rmse': 2.3720400585696755}, {'fold': 2, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.23129627044044498, 'rmse': 2.674235054521396}, {'fold': 3, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.332239473155623, 'rmse': 2.3551464461291665}, {'fold': 4, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.458103108183998, 'rmse': 2.2858880330363642}]",
legacy_all_drugs_zero_smiles,scaffold_group_4fold,xgboost,completed,0.336531330725255,2.3932228683261507,0.3435074444468772,0.1339739475867798,"[{'fold': 1, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.5187716155427913, 'rmse': 2.2322230079429657}, {'fold': 2, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.25897839153967817, 'rmse': 2.418122664130279}, {'fold': 3, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.17603961255131953, 'rmse': 2.6447698803836084}, {'fold': 4, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.42024015815371984, 'rmse': 2.2550207916113245}]",
legacy_all_drugs_zero_smiles,scaffold_group_4fold,lightgbm,completed,0.3014969271973667,2.446924038099667,0.3029558604385856,0.1409103027405271,"[{'fold': 1, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.46578753789014404, 'rmse': 2.267944516621792}, {'fold': 2, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.2534739280345541, 'rmse': 2.51004584859487}, {'fold': 3, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.0978960922778119, 'rmse': 2.7002627704051028}, {'fold': 4, 'n_train': 3123, 'n_valid': 1041, 'spearman': 0.3946658835518322, 'rmse': 2.2835121957191395}]",
